
 STAID, SOUID,    DATE,   TG, Q_TG
  7012,142184,19911001,-9999,    9
  7012,142184,19911002,-9999,    9
  7012,142184,19911003,-9999,    9
  7012,142184,19911004,-9999,    9
  7012,142184,19911005,-9999,    9
  7012,142184,19911006,-9999,    9
  7012,142184,19911007,-9999,    9
  7012,142184,19911008,-9999,    9
  7012,142184,19911009,   90,    0
  7012,142184,19911010,   98,    0
  7012,142184,19911011,   88,    0
  7012,142184,19911012,   92,    0
  7012,142184,19911013,   94,    0
  7012,142184,19911014,-9999,    9
  7012,142184,19911015,   98,    0
  7012,142184,19911016,   98,    0
  7012,142184,19911017,  108,    0
  7012,142184,19911018,   95,    0
  7012,142184,19911019,   83,    0
  7012,142184,19911020,   59,    0
  7012,142184,19911021,   16,    0
  7012,142184,19911022,-9999,    9
  7012,142184,19911023,   28,    0
  7012,142184,19911024,    9,    0
  7012,142184,19911025,   34,    0
  7012,142184,19911026,   52,    0
  7012,142184,19911027,   39,    0
  7012,142184,19911028,   52,    0
  7012,142184,19911029,   47,    0
  7012,142184,19911030,   35,    0
  7012,142184,19911031,   49,    0
  7012,142184,19911101,   62,    0
  7012,142184,19911102,   42,    0
  7012,142184,19911103,   76,    0
  7012,142184,19911104,   72,    0
  7012,142184,19911105,   71,    0
  7012,142184,19911106,   71,    0
  7012,142184,19911107,   55,    0
  7012,142184,19911108,   56,    0
  7012,142184,19911109,   54,    0
  7012,142184,19911110,   45,    0
  7012,142184,19911111,   30,    0
  7012,142184,19911112,   56,    0
  7012,142184,19911113,-9999,    9
  7012,142184,19911114,-9999,    9
  7012,142184,19911115,-9999,    9
  7012,142184,19911116,   42,    0
  7012,142184,19911117,   30,    0
  7012,142184,19911118,   25,    0
  7012,142184,19911119,   12,    0
  7012,142184,19911120,-9999,    9
  7012,142184,19911121,-9999,    9
  7012,142184,19911122,   47,    0
  7012,142184,19911123,   39,    0
  7012,142184,19911124,   55,    0
  7012,142184,19911125,-9999,    9
  7012,142184,19911126,   56,    0
  7012,142184,19911127,   60,    0
  7012,142184,19911128,   59,    0
  7012,142184,19911129,   61,    0
  7012,142184,19911130,   39,    0
  7012,142184,19911201,   57,    0
  7012,142184,19911202,   37,    0
  7012,142184,19911203,-9999,    9
  7012,142184,19911204,-9999,    9
  7012,142184,19911205,-9999,    9
  7012,142184,19911206,  -58,    0
  7012,142184,19911207,-9999,    9
  7012,142184,19911208,-9999,    9
  7012,142184,19911209,-9999,    9
  7012,142184,19911210,    0,    0
  7012,142184,19911211,   13,    0
  7012,142184,19911212,   22,    0
  7012,142184,19911213,-9999,    9
  7012,142184,19911214,-9999,    9
  7012,142184,19911215,-9999,    9
  7012,142184,19911216,-9999,    9
  7012,142184,19911217,   20,    0
  7012,142184,19911218,   23,    0
  7012,142184,19911219,   19,    0
  7012,142184,19911220,   24,    0
  7012,142184,19911221,   32,    0
  7012,142184,19911222,    4,    0
  7012,142184,19911223,   28,    0
  7012,142184,19911224,    2,    0
  7012,142184,19911225,  -37,    0
  7012,142184,19911226,   11,    0
  7012,142184,19911227,  -10,    0
  7012,142184,19911228,    9,    0
  7012,142184,19911229,   31,    0
  7012,142184,19911230,   20,    0
  7012,142184,19911231,  -24,    0
  7012,142184,19920101,   27,    0
  7012,142184,19920102,   31,    0
  7012,142184,19920103,   49,    0
  7012,142184,19920104,   34,    0
  7012,142184,19920105,    9,    0
  7012,142184,19920106,-9999,    9
  7012,142184,19920107,   10,    0
  7012,142184,19920108,   27,    0
  7012,142184,19920109,   -8,    0
  7012,142184,19920110,  -50,    0
  7012,142184,19920111,-9999,    9
  7012,142184,19920112,-9999,    9
  7012,142184,19920113,-9999,    9
  7012,142184,19920114,  -13,    0
  7012,142184,19920115,   26,    0
  7012,142184,19920116,    3,    0
  7012,142184,19920117,  -46,    0
  7012,142184,19920118,  -56,    0
  7012,142184,19920119,  -93,    0
  7012,142184,19920120,  -74,    0
  7012,142184,19920121,   -9,    0
  7012,142184,19920122,    5,    0
  7012,142184,19920123,   -2,    0
  7012,142184,19920124,    8,    0
  7012,142184,19920125,-9999,    9
  7012,142184,19920126,    9,    0
